area,county,lsad,lsad_trans,name,perimeter,state,taz,tz06_d00_,tz06_d00_i,geometry
2.93E-05,77,,,1,0.042659606,6,1,2718,2719,"POLYGON ((-121.295657 37.959123, -121.291757 37.959723, -121.290157 37.953723, -121.296843 37.953299, -121.306357 37.953023, -121.301057 37.953523, -121.295757 37.954123, -121.294557 37.955423, -121.295657 37.959123))"
0.000576856,29,,,1,0.096446482,6,1,8765,8766,"POLYGON ((-119.251738 35.441696, -119.24315 35.441671, -119.225677 35.441559, -119.225229 35.441527, -119.225213 35.427191, -119.225293 35.419975, -119.227709 35.419959, -119.251838 35.419858, -119.251738 35.441696))"
0.016446792,73,,,1,1.043039855,6,1,9942,9944,"POLYGON ((-117.478153 33.505022, -117.364272 33.505025, -117.370772 33.490726, -117.282869 33.462227, -117.270569 33.458227, -117.241668 33.448928, -117.241562 33.44486, -117.241468 33.431928, -117.239168 33.431928, -117.227743 33.432029, -117.226667 33.432029, -117.224967 33.432029, -117.199939 33.432129, -117.195266 33.432129, -117.191826 33.432129, -117.144314 33.432629, -117.143605 33.432629, -117.143001 33.432629, -117.142678 33.432629, -117.142464 33.432629, -117.142177 33.432629, -117.141264 33.432629, -117.144524 33.429288, -117.150893 33.425831, -117.164401 33.407364, -117.169865 33.400627, -117.173537 33.393793, -117.174471 33.390626, -117.174784 33.387218, -117.175099 33.387218, -117.173927 33.377999, -117.170689 33.373742, -117.177826 33.368674, -117.181687 33.367718, -117.195882 33.362179, -117.200543 33.361428, -117.203667 33.362073, -117.206542 33.362246, -117.208145 33.364582, -117.208248 33.366132, -117.208767 33.366831, -117.212371 33.369032, -117.227833 33.369168, -117.227905 33.376587, -117.227904 33.391745, -117.224729 33.401563, -117.225505 33.406704, -117.226042 33.407783, -117.231703 33.409852, -117.240552 33.414753, -117.243241 33.413529, -117.248995 33.409178, -117.25236 33.402406, -117.255836 33.4026, -117.25525 33.406885, -117.261095 33.406824, -117.273874 33.40782, -117.294644 33.418278, -117.311993 33.408573, -117.312097 33.412665, -117.317229 33.412671, -117.317144 33.41683, -117.321529 33.416722, -117.322144 33.406183, -117.338628 33.406154, -117.33874 33.412286, -117.326962 33.412427, -117.326752 33.416767, -117.328762 33.421599, -117.332451 33.421632, -117.332556 33.4195, -117.340642 33.419423, -117.340612 33.425504, -117.333386 33.425709, -117.333448 33.430893, -117.387735 33.429016, -117.394234 33.437709, -117.399634 33.45525, -117.407753 33.460145, -117.463996 33.476799, -117.465538 33.476504, -117.465752 33.47377, -117.469737 33.470251, -117.475859 33.470895, -117.472062 33.488033, -117.482529 33.500025, -117.487673 33.503344, -117.494015 33.500025, -117.500877 33.49532, -117.509376 33.491846, -117.509722 33.505019, -117.503651 33.505019, -117.482683 33.505021, -117.478153 33.505022))"
0.000032895,77,,,2,0.02305868,6,2,2716,2717,"POLYGON ((-121.291757 37.959723, -121.286457 37.960523, -121.284857 37.954623, -121.290157 37.953723, -121.291757 37.959723))"
0.000787311,29,,,2,0.136846237,6,2,8925,8926,"POLYGON ((-119.25206 35.383438, -119.198924 35.3834, -119.199084 35.36868, -119.244702 35.368744, -119.25275 35.368152, -119.25206 35.383438))"
0.052722539,73,,,2,1.1621196,6,2,9943,9945,"POLYGON ((-117.509376 33.491846, -117.500877 33.49532, -117.494015 33.500025, -117.487673 33.503344, -117.482529 33.500025, -117.472062 33.488033, -117.475859 33.470895, -117.469737 33.470251, -117.465752 33.47377, -117.465538 33.476504, -117.463996 33.476799, -117.407753 33.460145, -117.399634 33.45525, -117.394234 33.437709, -117.387735 33.429016, -117.333448 33.430893, -117.333386 33.425709, -117.340612 33.425504, -117.340642 33.419423, -117.332556 33.4195, -117.332451 33.421632, -117.328762 33.421599, -117.326752 33.416767, -117.326962 33.412427, -117.33874 33.412286, -117.338628 33.406154, -117.322144 33.406183, -117.321529 33.416722, -117.317144 33.41683, -117.317229 33.412671, -117.312097 33.412665, -117.311993 33.408573, -117.294644 33.418278, -117.273874 33.40782, -117.261095 33.406824, -117.25525 33.406885, -117.255836 33.4026, -117.259269 33.37673, -117.260569 33.36933, -117.26167 33.358232, -117.247569 33.358232, -117.24631 33.35284, -117.244842 33.349889, -117.248689 33.349868, -117.248819 33.343385, -117.253615 33.343515, -117.253515 33.339715, -117.249315 33.339615, -117.249215 33.328916, -117.259969 33.329232, -117.265869 33.329332, -117.269326 33.299598, -117.269369 33.299233, -117.29693 33.278716, -117.29787 33.278033, -117.347245 33.240665, -117.369771 33.223835, -117.387093 33.210016, -117.389336 33.208281, -117.389791 33.206742, -117.392817 33.206643, -117.394478 33.2082, -117.394935 33.210663, -117.39436 33.212604, -117.395543 33.213467, -117.398033 33.210907, -117.39574263167533 33.207360445317185, -117.39539698791894 33.20682522813418, -117.39669616999814 33.20817291500093, -117.401926 33.213598, -117.40292525732035 33.21485503123843, -117.40414365166085 33.21638772928881, -117.40582099908931 33.21849777449173, -117.40894074036203 33.22242230139363, -117.43631329534342 33.25685603131149, -117.445583 33.268517, -117.469794 33.296417, -117.50565 33.334063, -117.53277271764048 33.354337784625386, -117.53858916877252 33.35868570047767, -117.54696032844534 33.36494331306948, -117.547693 33.365491, -117.571722 33.378988, -117.57218104179907 33.37913319158816, -117.574589 33.380532, -117.582266 33.382409, -117.59588 33.386629, -117.58828 33.417428, -117.57848 33.453927, -117.562942 33.452305, -117.556271 33.452363, -117.53842 33.455657, -117.513477 33.468526, -117.508588 33.469663, -117.509376 33.491846))"
0.00004014,77,,,3,0.025446618,6,3,2700,2701,"POLYGON ((-121.285157 37.960723, -121.279957 37.961723, -121.278357 37.955823, -121.284857 37.954623, -121.286457 37.960523, -121.285157 37.960723))"
0.000111531,29,,,3,0.051076786,6,3,8774,8775,"POLYGON ((-119.198604 35.440966, -119.182395 35.427447, -119.198588 35.427191, -119.198604 35.440966))"
0.00360328,73,,,3,0.33212242,6,3,9944,9947,"POLYGON ((-117.138306 33.432455, -117.135107 33.432333, -117.117564 33.43123, -117.117002 33.431198, -117.098563 33.43063, -117.100745 33.426114, -117.10763 33.422117, -117.115729 33.421946, -117.118091 33.416097, -117.120639 33.411357, -117.123515 33.41009, -117.127455 33.409677, -117.12852 33.408396, -117.12828 33.401046, -117.129826 33.392668, -117.131194 33.388545, -117.133326 33.387284, -117.127891 33.383304, -117.125077 33.382886, -117.122735 33.38184, -117.120676 33.379242, -117.121233 33.372932, -117.124464 33.372731, -117.126852 33.371576, -117.127964 33.367931, -117.129988 33.364827, -117.131851 33.364641, -117.133013 33.363809, -117.136012 33.360285, -117.135605 33.346305, -117.13438 33.344198, -117.133236 33.343011, -117.132638 33.34317, -117.133065 33.339832, -117.134656 33.337908, -117.135365 33.337684, -117.140043 33.340662, -117.142097 33.34029, -117.147971 33.334245, -117.148113 33.333514, -117.153724 33.327976, -117.158425 33.324163, -117.1594 33.33128, -117.159106 33.344101, -117.15899 33.357333, -117.15972 33.361205, -117.16119 33.364721, -117.16323 33.367805, -117.168198 33.372945, -117.173113 33.379219, -117.174279 33.382875, -117.174784 33.387218, -117.174471 33.390626, -117.173537 33.393793, -117.169865 33.400627, -117.164401 33.407364, -117.150893 33.425831, -117.144524 33.429288, -117.141264 33.432629, -117.138306 33.432455))"
2.73E-05,77,,,4,0.021516795,6,4,2743,2744,"POLYGON ((-121.278084 37.954777, -121.277257 37.951823, -121.283757 37.950623, -121.284857 37.954623, -121.278357 37.955823, -121.278084 37.954777))"
