ID,CNN,STREET,PCI_Score,From_Street,To_Street,PCI_Change_Date,Treatment_or_Survey,Street_Accepted_For_Maintenance,Functional_Class
1,113000,01st St,40,Lansing St,Harrison St \ I-80 E On Ramp,8/14/2018,Survey,Yes,Arterial
2,112000,01st St,42,Guy Pl,Lansing St,8/14/2018,Survey,Yes,Arterial
3,111000,01st St,58,Folsom St,Guy Pl,8/14/2018,Survey,Yes,Arterial
4,107000,01st St,67,Howard St,Tehama St,8/14/2018,Survey,Yes,Arterial
5,104001,01st St,68,Mission St,Transbay Hump,8/14/2018,Survey,Yes,Arterial
6,108001,01st St,70,Tehama St,Clementina St,8/14/2018,Survey,Yes,Arterial
7,104002,01st St,72,Transbay Hump,Minna St,8/14/2018,Survey,Yes,Arterial
8,100000,01st St,79,Bush St \ Market St,Stevenson St,8/14/2018,Survey,Yes,Arterial
9,101000,01st St,80,Stevenson St,End,8/14/2018,Survey,Yes,Arterial
10,103000,01st St,80,End,Mission St,8/14/2018,Survey,Yes,Arterial
11,102000,01st St,83,End,End,8/14/2018,Survey,Yes,Arterial
12,106000,01st St,95,Natoma St,Howard St,8/14/2018,Survey,Yes,Arterial
13,105000,01st St,95,Minna St,Natoma St,8/14/2018,Survey,Yes,Arterial
14,30731000,01st St,100,Bush St \ Market St,Intersection,4/16/2014,Treatment,No,
15,110000,01ST ST,74,CLEMENTINA ST,FOLSOM ST,8/10/2009,Survey,No,
16,114000,01ST ST,100,HARRISON ST \ I-80 E ON RAMP,END,10/29/2008,Survey,No,
17,108001,01ST ST,80,TEHAMA ST,CLEMENTINA ST,11/19/2002,Survey,Yes,
18,104002,01ST ST,100,END,MINNA ST,11/19/2002,Survey,Yes,
19,104001,01ST ST,100,MISSION ST,END,11/19/2002,Survey,Yes,
20,24564000,01ST ST,100,END,Intersection,5/9/2001,Treatment,No,
21,24530000,01ST ST,100,END,Intersection,5/9/2001,Treatment,No,
22,24532000,01ST ST,100,HOWARD ST,Intersection,5/9/2001,Treatment,No,
23,24534000,01ST ST,100,NATOMA ST,Intersection,5/9/2001,Treatment,No,
24,24542000,01ST ST,100,MINNA ST,Intersection,5/9/2001,Treatment,No,
25,24563000,01ST ST,100,MISSION ST,Intersection,5/9/2001,Treatment,No,
26,24666000,01ST ST,100,STEVENSON ST,Intersection,5/9/2001,Treatment,No,
27,121000,02nd Ave,100,Cornwall St,Clement St,7/5/2019,Treatment,Yes,Residential
28,126000,02nd Ave,100,Cabrillo St,Fulton St,7/5/2019,Treatment,Yes,Residential
29,118000,02nd Ave,100,End,Lake St,7/5/2019,Treatment,Yes,Residential
30,119000,02nd Ave,85,Lake St,California St,10/21/2018,Survey,Yes,Residential
31,128000,02nd Ave,84,Hugo St,Irving St,8/7/2018,Survey,Yes,Residential
32,127000,02nd Ave,85,Lincoln Way,Hugo St,8/7/2018,Survey,Yes,Residential
33,122000,02nd Ave,85,Clement St,Geary Blvd,8/2/2018,Survey,Yes,Residential
34,123000,02nd Ave,87,Geary Blvd,Anza St,8/2/2018,Survey,Yes,Residential
35,120000,02nd Ave,100,California St,Cornwall St,6/6/2018,Treatment,Yes,Residential
36,125000,02nd Ave,100,Balboa St,Cabrillo St,6/6/2018,Treatment,Yes,Residential
37,124000,02nd Ave,100,Anza St,Balboa St,11/30/2017,Treatment,Yes,Residential
38,27210000,02nd Ave,100,Fulton St,Intersection,12/17/2013,Treatment,No,
39,27070000,02ND AVE,100,HUGO ST,Intersection,3/17/2008,Treatment,No,
40,27231000,02ND AVE,100,GEARY BLVD,Intersection,5/22/2003,Treatment,No,
41,27212000,02nd Ave: Cabrillo St Intersection,100,CABRILLO ST,Intersection,7/5/2019,Treatment,No,
42,27565000,02nd Ave: Cornwall St Intersection,100,CORNWALL ST,Intersection,7/5/2019,Treatment,No,
43,27068000,02nd Ave: Irving St Intersection,100,IRVING ST,Intersection,8/1/2019,Treatment,No,
44,27181000,02nd Ave: Lincoln Way Intersection,100,LINCOLN WAY,Intersection,6/29/2018,Treatment,No,
45,133000,02nd St,100,Minna St,Natoma St,3/14/2019,Treatment,Yes,Collector
46,131000,02nd St,100,Jessie St,Mission St,3/14/2019,Treatment,Yes,Collector
47,134000,02nd St,100,Natoma St,Howard St,3/14/2019,Treatment,Yes,Collector
48,130000,02nd St,100,Stevenson St,Jessie St,3/14/2019,Treatment,Yes,Collector
49,132000,02nd St,100,Mission St,Minna St,3/14/2019,Treatment,Yes,Collector
50,129000,02nd St,100,Market St,Stevenson St,3/14/2019,Treatment,Yes,Collector
51,137000,02nd St,100,Clementina St,Folsom St,1/18/2019,Treatment,Yes,Collector
52,135000,02nd St,100,Howard St,Tehama St,1/18/2019,Treatment,Yes,Collector
53,136000,02nd St,100,Tehama St,Clementina St,1/18/2019,Treatment,Yes,Collector
54,145000,02nd St,43,South Park,De Boom St,10/17/2018,Survey,Yes,Collector
55,141000,02nd St,48,Stillman St,Bryant St,10/17/2018,Survey,Yes,Collector
56,146000,02nd St,52,De Boom St,Brannan St,10/17/2018,Survey,Yes,Collector
